Type, row, col, angle(robot)
ENV,1000,1000
O,318.5,105.5
O,318.5,130.5
O,317.5,156.5
O,316.5,181.5
O,314.5,215.5
O,314.5,253.5
O,314.5,278.5
O,315.5,305.5
O,315.5,331.5
O,313.5,363.5
O,313.5,388.5
O,315.5,413.5
O,316.5,438.5
O,517.5,113.5
O,516.5,138.5
O,514.5,164.5
O,513.5,189.5
O,511.5,218.5
O,509.5,247.5
O,506.5,273.5
O,502.5,302.5
O,499.5,328.5
O,497.5,357.5
O,496.5,382.5
O,496.5,408.5
O,496.5,433.5
O,345.5,255.5
O,370.5,255.5
O,399.5,255.5
O,424.5,255.5
O,450.5,256.5
O,480.5,257.5
O,534.5,261.5
O,700.5,135.5
O,701.5,182.5
O,703.5,207.5
O,705.5,232.5
O,707.5,271.5
O,708.5,296.5
O,711.5,321.5
O,713.5,346.5
O,718.5,378.5
O,722.5,403.5
O,724.5,428.5
O,707.5,49.5
O,112.5,545.5
O,96.5,570.5
O,100.5,598.5
O,109.5,623.5
O,124.5,648.5
O,149.5,669.5
O,174.5,682.5
O,199.5,693.5
O,224.5,699.5
O,249.5,703.5
O,274.5,706.5
O,299.5,701.5
O,326.5,690.5
O,351.5,671.5
O,374.5,646.5
O,395.5,621.5
O,420.5,597.5
O,445.5,583.5
O,470.5,581.5
O,495.5,588.5
O,511.5,613.5
O,526.5,639.5
O,544.5,668.5
O,559.5,696.5
O,582.5,721.5
O,613.5,740.5
O,638.5,749.5
O,664.5,754.5
O,690.5,758.5
O,715.5,760.5
O,744.5,731.5
O,765.5,703.5
O,788.5,678.5
O,817.5,670.5
O,848.5,667.5
O,873.5,669.5
O,71.5,572.5
O,59.5,597.5
O,54.5,622.5
O,54.5,647.5
O,54.5,672.5
O,58.5,697.5
O,69.5,722.5
O,90.5,747.5
O,115.5,770.5
O,140.5,789.5
O,165.5,807.5
O,190.5,824.5
O,215.5,842.5
O,240.5,860.5
O,265.5,870.5
O,290.5,877.5
O,315.5,885.5
R,465,850,0
R,635,396,0
R,122,286,0
R,913,954,0
R,852,87,0
R,416,59,0
R,317,558,0
