Type, row, col, angle(robot)
ENV,400,400
O,61.5,45.5
O,58.5,71.5
O,56.5,97.5
O,54.5,122.5
O,54.5,147.5
O,53.5,173.5
O,52.5,199.5
O,52.5,224.5
O,49.5,250.5
O,49.5,277.5
O,49.5,302.5
O,75.5,308.5
O,100.5,306.5
O,125.5,301.5
O,150.5,297.5
O,175.5,296.5
O,200.5,295.5
O,225.5,294.5
O,146.5,85.5
O,138.5,111.5
O,134.5,136.5
O,134.5,161.5
O,141.5,186.5
O,157.5,211.5
O,182.5,221.5
O,207.5,218.5
O,232.5,218.5
O,257.5,218.5
O,282.5,220.5
O,308.5,225.5
O,333.5,238.5
O,345.5,264.5
O,350.5,290.5
O,354.5,315.5
O,357.5,340.5
O,361.5,365.5
O,221.5,320.5
O,224.5,345.5
O,228.5,370.5
O,205.5,0.5
O,230.5,3.5
O,255.5,2.5
O,280.5,5.5
O,275.5,30.5
O,276.5,55.5
O,276.5,80.5
O,274.5,105.5
O,272.5,130.5
R,301,368,90
R,177,371,180
